"stock","timeStamp","month","open","high","low","close","change"
"VIKASWSP","2019-01-10 00:00:00","January","11","11.38","10.92","10.97","-0.00273"
"VIMTALABS","2019-01-10 00:00:00","January","288.85","295.25","272.55","274.1","-0.05106"
"VINATIORGA","2019-01-10 00:00:00","January","808","819","795","801.17","-0.00845"
"VINDHYATEL","2019-01-10 00:00:00","January","1820.05","1833","1769.95","1781.1","-0.0214"
"VINYLINDIA","2019-01-10 00:00:00","January","79.95","82.8","78.5","80.95","0.01251"
"VIPCLOTHNG","2019-01-10 00:00:00","January","28.6","28.7","28.05","28.1","-0.01748"
"VIPIND","2019-01-10 00:00:00","January","498.1","506.9","494.3","499.1","0.00201"
"VIPULLTD","2019-01-10 00:00:00","January","34","34.5","32.5","33.55","-0.01324"
"VISAKAIND","2019-01-10 00:00:00","January","427.2","436.8","426.05","435.1","0.01849"
"VISASTEEL","2019-01-10 00:00:00","January","8.5","8.85","8.5","8.65","0.01765"
"VISESHINFO","2019-01-10 00:00:00","January","0.1","0.1","0.05","0.1","0"
"VISHAL","2019-01-10 00:00:00","January","36.11","36.67","36.11","36.67","0.01551"
"VISHNU","2019-01-10 00:00:00","January","154.55","157","154.25","156.3","0.01132"
"VIVIDHA","2019-01-10 00:00:00","January","0.7","0.7","0.65","0.65","-0.07143"
"VIVIMEDLAB","2019-01-10 00:00:00","January","34.5","34.85","34.3","34.6","0.0029"
"VLSFINANCE","2019-01-10 00:00:00","January","56.8","57.75","56","57.1","0.00528"
"VMART","2019-01-10 00:00:00","January","2385","2385","2280.05","2294.3","-0.03803"
"VOLTAMP","2019-01-10 00:00:00","January","1092.55","1102.7","1080","1090.15","-0.0022"
"VOLTAS","2019-01-10 00:00:00","January","535.25","542.5","533.5","539.35","0.00766"
"VRLLOG","2019-01-10 00:00:00","January","279.1","286.8","275.75","283.55","0.01594"
"VSSL","2019-01-10 00:00:00","January","97.1","97.8","95.1","96.15","-0.00978"
"VSTIND","2019-01-10 00:00:00","January","3194.85","3210","3149.9","3189.55","-0.00166"
"VSTTILLERS","2019-01-10 00:00:00","January","1585.65","1585.7","1575","1576.55","-0.00574"
"VTL","2019-01-10 00:00:00","January","1070.1","1095","1070.1","1088.4","0.0171"
"WABAG","2019-01-10 00:00:00","January","279.4","325","277.25","320.35","0.14656"
"WABCOINDIA","2019-01-10 00:00:00","January","6378","6509.85","6375.05","6482.55","0.01639"
