timeStamp,month,open,high,low,close,change
2019-01-01 00:01:00,January,3694.72,3694.72,3690.65,3690.65,-0.0011
2019-01-01 00:02:00,January,3689.73,3689.73,3686.62,3686.62,-0.00084
2019-01-01 00:03:00,January,3692.85,3692.85,3688.32,3692.35,-0.00014
2019-01-01 00:04:00,January,3692.35,3692.35,3690.34,3690.34,-0.00054
2019-01-01 00:05:00,January,3690.4,3690.85,3690.4,3690.85,0.00012
2019-02-01 00:00:00,February,3413.69,3415.26,3413.4,3415.26,0.00046
2019-02-01 00:01:00,February,3415.39,3418.79,3415.39,3415.65,0.00008
2019-02-01 00:02:00,February,3415.77,3417.7,3415.77,3417.7,0.00057
2019-02-01 00:03:00,February,3417.67,3417.67,3417.56,3417.56,-0.00003
2019-02-01 00:04:00,February,3416.52,3416.52,3416.52,3416.52,0
2019-03-01 00:00:00,March,3791.02,3792.85,3791.02,3791.02,0
2019-03-01 00:01:00,March,3791.21,3792.72,3791.21,3792.72,0.0004
2019-03-01 00:02:00,March,3792.72,3793.43,3792.72,3793.43,0.00019
2019-03-01 00:03:00,March,3793.55,3793.55,3793.55,3793.55,0
2019-03-01 00:04:00,March,3793.55,3793.55,3793.55,3793.55,0
2019-04-01 00:00:00,April,4092.02,4093.75,4092.01,4093.74,0.00042
2019-04-01 00:01:00,April,4092.07,4092.36,4092.07,4092.36,0.00007
2019-04-01 00:02:00,April,4092.77,4092.77,4092.77,4092.77,0
2019-04-01 00:03:00,April,4092.45,4092.45,4091.63,4091.63,-0.0002
2019-04-01 00:04:00,April,4091.63,4091.63,4091.63,4091.63,0
2019-05-01 00:00:00,May,5267.86,5269,5265.9,5267,-0.00016
2019-05-01 00:01:00,May,5267,5267,5263.03,5263.03,-0.00075
2019-05-01 00:02:00,May,5266.05,5267.16,5263.22,5263.22,-0.00054
2019-05-01 00:03:00,May,5268.14,5268.14,5265.79,5265.81,-0.00044
2019-05-01 00:04:00,May,5268.14,5268.14,5263.59,5263.59,-0.00086
2019-06-01 00:00:00,June,8545.8,8550.5,8541.28,8543.65,-0.00025
2019-06-01 00:01:00,June,8541.29,8554.99,8541.29,8547.22,0.00069
2019-06-01 00:02:00,June,8550.02,8555.33,8547.22,8552.26,0.00026
2019-06-01 00:03:00,June,8555.05,8558.49,8547.01,8555.23,0.00002
2019-06-01 00:04:00,June,8555.22,8556.61,8547.02,8547.02,-0.00096
2019-07-01 00:00:00,July,10759.24,10776.27,10749.08,10776.27,0.00158
2019-07-01 00:01:00,July,10770.17,10784.06,10757.36,10769.24,-0.00009
2019-07-01 00:02:00,July,10775.74,10775.74,10733.92,10733.92,-0.00388
2019-07-01 00:03:00,July,10741.71,10747.64,10715.08,10727.61,-0.00131
2019-07-01 00:04:00,July,10742.58,10742.58,10678.03,10705.49,-0.00345
2019-08-01 00:00:00,August,10096.01,10108.29,10096.01,10104.74,0.00086
2019-08-01 00:01:00,August,10108.28,10121,10100.18,10102.19,-0.0006
2019-08-01 00:02:00,August,10114.56,10114.56,10090.18,10090.18,-0.00241
2019-08-01 00:03:00,August,10103.24,10127.83,10103.24,10107.53,0.00042
2019-08-01 00:04:00,August,10112.9,10113.9,10107.9,10107.9,-0.00049
2019-09-01 00:00:00,September,9593.5,9593.5,9593.5,9593.5,0
2019-09-01 00:01:00,September,9593.5,9603.1,9593.5,9595.42,0.0002
2019-09-01 00:02:00,September,9603.1,9603.1,9598.25,9603.1,0
2019-09-01 00:03:00,September,9594.34,9603.1,9594.34,9602.03,0.0008
2019-09-01 00:04:00,September,9603.1,9610.15,9598.05,9603.57,0.00005
2019-10-01 00:00:00,October,8304.47,8340,8300.66,8313,0.00103
2019-10-01 00:01:00,October,8303.33,8310.63,8294.44,8294.44,-0.00107
2019-10-01 00:02:00,October,8294.44,8294.44,8284.33,8284.33,-0.00122
2019-10-01 00:03:00,October,8283.07,8283.07,8260.82,8262.83,-0.00244
2019-10-01 00:04:00,October,8257.31,8267.18,8257.31,8259.92,0.00032
2019-11-01 00:00:00,November,9158.08,9158.08,9158.08,9158.08,0
2019-11-01 00:01:00,November,9147.03,9154.56,9145.09,9145.09,-0.00021
2019-11-01 00:02:00,November,9146.64,9146.64,9142.77,9142.77,-0.00042
2019-11-01 00:03:00,November,9142.76,9142.76,9134.17,9135.52,-0.00079
2019-11-01 00:04:00,November,9134.17,9135.52,9132.06,9135.52,0.00015
2019-12-01 00:00:00,December,7560.2,7560.2,7556.1,7556.1,-0.00054
2019-12-01 00:01:00,December,7554.2,7554.2,7546.14,7546.14,-0.00107
2019-12-01 00:02:00,December,7546.02,7546.1,7546.02,7546.02,0
2019-12-01 00:03:00,December,7546.02,7553.18,7545.09,7545.09,-0.00012
2019-12-01 00:04:00,December,7543.63,7543.63,7543.63,7543.63,0
