"timeStamp","month","stock","open","high","low","close","change"
"2019-01-10 00:00:00","January","VDC","132.28","133.52","131.95","133.31","0.00779"
"2019-01-10 00:00:00","January","VFVA","68.5","69.369","68.5","69.369","0.01269"
"2019-01-10 00:00:00","January","VGIT","63.4","63.43","63.29","63.3","-0.00158"
"2019-01-10 00:00:00","January","VGK","50.48","50.78","50.41","50.74","0.00515"
"2019-01-10 00:00:00","January","VGSH","60.08","60.09","60.03","60.05","-0.0005"
"2019-01-10 00:00:00","January","VHT","162.75999","164.32001","162.14999","164.24001","0.00909"
"2019-01-10 00:00:00","January","VOO","235.64999","238.17","234.85001","238","0.00997"
"2019-01-10 00:00:00","January","VT","67.61","68.34","67.53","68.34","0.0108"
"2019-01-10 00:00:00","January","VTC","80.55","80.55","80.32","80.32","-0.00286"
"2019-01-10 00:00:00","January","VTEB","50.97","51.05","50.97","51.03","0.00118"
"2019-01-10 00:00:00","January","VUSE","29.25","29.66","29.25","29.58","0.01128"
"2019-01-10 00:00:00","January","WANT","21.75","22.14","21.24","22.14","0.01793"
"2019-01-10 00:00:00","January","WEAT","6.08","6.08","6.01","6.02","-0.00987"
"2019-01-10 00:00:00","January","WOOD","60.78","62.31","60.78","62.31","0.02517"
"2019-01-10 00:00:00","January","WPS","35.99","36.05","35.86","36.05","0.00167"
"2019-01-10 00:00:00","January","XCOM","0.006","0.006","0.006","0.006","0"
"2019-01-10 00:00:00","January","XLB","51.65","52.51","51.6","52.48","0.01607"
"2019-01-10 00:00:00","January","XMVM","28.87","29.06","28.83","29.01","0.00485"
"2019-01-10 00:00:00","January","XSLV","44.18","44.55","44.08","44.46","0.00634"
"2019-01-10 00:00:00","January","XSW","78.87","79.64","78.54","79.64","0.00976"
"2019-01-10 00:00:00","January","XTL","66.37","67.32","66.31","67.29","0.01386"
"2019-01-10 00:00:00","January","YANG","60.98","61.08","58.85","59.07","-0.03132"
"2019-01-10 00:00:00","January","YLD","38.43","38.569","38.43","38.495","0.00169"
"2019-01-10 00:00:00","January","ZHOK","58.64","58.64","58.64","58.64","0"
"2019-01-10 00:00:00","January","IGSB","51.76","51.8","51.69","51.73","-0.00058"
"2019-01-10 00:00:00","January","IHDG","28.79","28.979","28.77","28.97","0.00625"
"2019-01-10 00:00:00","January","IMOM","24.512","24.55","24.512","24.55","0.00155"
"2019-01-10 00:00:00","January","INDA","32.73","32.98","32.64","32.97","0.00733"
"2019-01-10 00:00:00","January","INDL","63.49","64.77","63.14","64.77","0.02016"
"2019-01-10 00:00:00","January","IPKW","30.23","30.51","30.23","30.46","0.00761"
"2019-01-10 00:00:00","January","ISCF","27.26","27.333","27.17","27.3","0.00147"
"2019-01-10 00:00:00","January","ISHG","80.5","80.61","80.28","80.34","-0.00199"
"2019-01-10 00:00:00","January","ITEQ","32.53","32.932","32.53","32.932","0.01236"
"2019-01-10 00:00:00","January","IVOG","122.13","123.71","122.05","123.71","0.01294"
"2019-01-10 00:00:00","January","IWB","142.39","143.98","141.98","143.89999","0.0106"
"2019-01-10 00:00:00","January","IWD","113.77","114.94","113.48","114.87","0.00967"
"2019-01-10 00:00:00","January","IWS","79.21","80.32","79.13","80.29","0.01363"
"2019-01-10 00:00:00","January","IYM","86.5","87.59","86.21","87.59","0.0126"
"2019-01-10 00:00:00","January","IZRL","19.57","19.946","19.56","19.732","0.00828"
"2019-01-10 00:00:00","January","JHMC","29.49","29.788","29.49","29.788","0.01011"
"2019-01-10 00:00:00","January","JHME","25.13","25.419","25.11","25.419","0.0115"
"2019-01-10 00:00:00","January","JHSC","23.8","24.081","23.77","24.081","0.01181"
"2019-01-10 00:00:00","January","JIGB","50.492","50.492","50.492","50.492","0"
"2019-01-10 00:00:00","January","JKJ","156.73","157.98","156.52","157.98","0.00798"
"2019-01-10 00:00:00","January","JKK","177.71001","179.36","177.71001","179.36","0.00928"
"2019-01-10 00:00:00","January","JKL","131.38","132.77","131.38","132.75999","0.0105"
"2019-01-10 00:00:00","January","JPED","23.837","23.837","23.837","23.837","0"
"2019-01-10 00:00:00","January","JPGE","56.29","56.77","56.24","56.76","0.00835"
"2019-01-10 00:00:00","January","JPLS","22.37","22.395","22.37","22.391","0.00094"
"2019-01-10 00:00:00","January","JPMF","23.05","23.05","23.05","23.05","0"
"2019-01-10 00:00:00","January","KBWP","57.18","57.61","57.1","57.61","0.00752"
"2019-01-10 00:00:00","January","KBWR","47.49","47.89","47.49","47.89","0.00842"
"2019-01-10 00:00:00","January","KFYP","22.49","22.49","22.23","22.23","-0.01156"
"2019-01-10 00:00:00","January","KOIN","22.729","23.035","22.68","23.035","0.01346"
"2019-01-10 00:00:00","January","KOLD","21.12","22.08","20.84","21.76","0.0303"
"2019-01-10 00:00:00","January","LIT","28.06","28.43","27.94","28.42","0.01283"
"2019-01-10 00:00:00","January","LTL","34.01","34.01","34.01","34.01","0"
"2019-01-10 00:00:00","January","LVHB","29.83","30.152","29.83","30.14","0.01039"
"2019-01-10 00:00:00","January","LVHD","29.23","29.523","29.138","29.5","0.00924"
"2019-01-10 00:00:00","January","MBB","104.66","104.72","104.51","104.56","-0.00096"
"2019-01-10 00:00:00","January","MBSD","22.988","22.988","22.988","22.988","0"
"2019-01-10 00:00:00","January","MDY","316.29001","320.62","315.57001","320.62","0.01369"
"2019-01-10 00:00:00","January","MIDU","31.89","33.25","31.72","33.25","0.04265"
"2019-01-10 00:00:00","January","MYY","48.15","48.19","47.47","47.47","-0.01412"
"2019-01-10 00:00:00","January","MZZ","20.88","20.89","20.24","20.24","-0.03065"
"2019-01-10 00:00:00","January","NUGT","17.74","18.02","17.04","17.17","-0.03213"
"2019-01-10 00:00:00","January","NUSA","24.35","24.35","24.315","24.315","-0.00144"
"2019-01-10 00:00:00","January","OMFL","25.58","25.831","25.56","25.831","0.00981"
"2019-01-10 00:00:00","January","OPER","100.08","100.08","100.08","100.08","0"
"2019-01-10 00:00:00","January","OUSM","24.56","24.81","24.456","24.81","0.01018"
"2019-01-10 00:00:00","January","PASS","26.306","26.306","25.385","25.418","-0.03376"
